callsign,frequency,band,names,location.city,location.country,location.full_state_name,location.state
W204BF,88.7,FM,WCKZ,Fort Wayne,US,Indiana,IN
K267AJ,101.3,FM,KAWZ,Mt. Shasta,US,California,CA
K214EM,90.7,FM,KAWZ,Durant,US,Oklahoma,OK
K205EP,88.9,FM,WGEN-FM,Santa Clarita,US,California,CA
K201FX,88.1,FM,KEFX,Reno,US,Texas,TX
K209EG,89.7,FM,KWFL,Artesia,US,New Mexico,NM
K203EY,88.5,FM,KLOV,Saint George,US,Utah,UT
K213DT,90.5,FM,KEFX,Kerrville,US,Texas,TX
K207DL,89.3,FM,WPCS,Twin Falls,US,Idaho,ID
KQSE,102.5,FM,La Nueva Mix,Gypsum,US,Colorado,CO
WIZM,93.3,FM,Z-93,La Crosse,US,Wisconsin,WI
KIHC,890,AM,Relevant Radio,San Luis Obispo,US,California,CA
W216BF,91.1,FM,WHWL,Manistique,US,Michigan,MI
W243AB,96.5,FM,WMVN,Westvale,US,New York,NY
K208AX,89.5,FM,KSOR,Lakeview,US,Oregon,OR
K251CF,98.1,FM,KHTS,Santa Clarita,US,California,CA
K236AE,95.1,FM,KNCW,Twisp,US,Washington,WA
K213EA,90.5,FM,KAWZ,Roswell,US,New Mexico,NM
K272EY,102.3,FM,KAWZ,Chickasha,US,Oklahoma,OK
K204DN,88.7,FM,KAWZ,Paragould,US,Arkansas,AR
W203AZ,88.5,FM,KAWZ,Chattanooga,US,Tennessee,TN
K279BV,103.7,FM,KAWZ,Johnstonville,US,California,CA
K211EF,90.1,FM,Capital Public Radio,South Lake Tahoe,US,California,CA
K214CM,90.7,FM,KAWZ,Roseburg,US,Oregon,OR
K204EO,88.7,FM,KLOV,Yankton,US,South Dakota,SD
K204GH,88.7,FM,KVIP-FM,Chiloquin,US,Oregon,OR
K203FB,88.5,FM,KJIL,Hays,US,Kansas,KS
W213BL,90.5,FM,WMHR,Oneonta,US,New York,NY
K262CW,100.3,FM,KWEY,Weatherford,US,Oklahoma,OK
KBIL,89.7,FM,Air1 Radio,Park City,US,Montana,MT
KYOR,88.9,FM,Family Radio Network,Newport,US,Oregon,OR
K267CM,101.3,FM,KUNC,Steamboat Springs,US,Colorado,CO
KQEO,107.1,FM,Arrow 107.1,Idaho Falls,US,Idaho,ID
KKIS,96.5,FM,Radio Kenai,Soldotna,US,Alaska,AK
W246AR,97.1,FM,WRDV,Bensalem,US,Pennsylvania,PA
K252DN,98.3,FM,KRCS,Spearfish,US,South Dakota,SD
K265CJ,100.9,FM,KJJJ,Laughlin,US,Nevada,NV
K215BC,90.9,FM,KAJX,Thomasville,US,Colorado,CO
K220GE,91.9,FM,KUSU-FM,Levan,US,Utah,UT
